,City,Country,Date,Latitude,Longitude,Max Temp (F),Humidity,Cloud Coverage (%),Wind (MPH)
149,Klaksvík,FO,1666485551,62.2266,-6.589,43.72,79,100,16.78
150,Yārāda,IN,1666485552,17.65,83.2667,75.52,60,20,4.61
151,Şabyā,SA,1666485552,17.1495,42.6254,85.62,74,3,4.09
152,Laas,IT,1666485552,46.6166,10.7002,49.08,92,85,2.37
153,Rundu,NA,1666485553,-17.9333,19.7667,75.31,36,90,4.32
154,Walvis Bay,NA,1666485554,-22.9575,14.5053,59.09,88,4,8.05
155,Sørland,NO,1666485554,67.667,12.6934,40.86,62,100,20.49
156,Provideniya,RU,1666485555,64.3833,-173.3,32.97,96,99,5.59
157,Lompoc,US,1666485256,34.6391,-120.4579,68.56,81,100,13.8
158,Esperance,AU,1666485555,-33.8667,121.9,62.44,55,1,14.12
159,Puerto Escondido,MX,1666485257,15.85,-97.0667,83.23,57,0,9.22
160,Rio Grande,BR,1666485556,-32.035,-52.0986,64.51,86,98,5.12
161,Srednekolymsk,RU,1666485556,67.45,153.6833,6.84,89,97,11.83
162,Baykit,RU,1666485557,61.67,96.37,36.05,99,100,2.59
163,Bulri,PK,1666485558,24.8667,68.3333,76.42,40,0,5.97
164,Dwārka,IN,1666485558,22.2394,68.9678,80.13,44,5,9.26
165,Kloulklubed,PW,1666485559,7.0419,134.2556,81.1,76,86,6.62
166,Saint George,US,1666485559,37.1041,-113.5841,75.94,25,100,35.68
167,Tasiilaq,GL,1666485559,65.6145,-37.6368,32.16,96,100,9.78
168,Lebu,CL,1666485560,-37.6167,-73.65,48.29,87,100,6.4
169,Xinpu,CN,1666485560,34.5997,119.1594,63.01,50,0,8.95
170,Manzanillo,CU,1666485560,20.3433,-77.1167,75.69,87,34,7.2
171,Evanton,GB,1666485261,57.6638,-4.34,51.73,98,93,2.13
172,Navur,AM,1666485561,40.8669,45.3418,35.98,81,72,1.3
173,Mabaruma,GY,1666485263,8.2,-59.7833,76.55,93,21,3.33
174,Liberal,US,1666485287,37.0431,-100.921,80.74,18,0,21.85
175,Oodweyne,SO,1666485563,9.4092,45.064,71.02,72,48,4.36
176,Constitución,CL,1666485357,-35.3333,-72.4167,49.96,90,100,7.25
177,Zherdevka,RU,1666485563,51.8486,41.4606,38.93,77,100,6.55
178,Ulladulla,AU,1666485265,-35.35,150.4667,65.3,93,100,11.99
179,Stornoway,GB,1666485564,58.2093,-6.3865,53.56,95,75,10.36
180,Bathsheba,BB,1666485564,13.2167,-59.5167,81.21,83,20,10.36
181,Tuatapere,NZ,1666485564,-46.1333,167.6833,64.2,48,100,7.09
182,Khatanga,RU,1666485565,71.9667,102.5,27.03,91,100,15.57
183,Bridlington,GB,1666485565,54.0831,-0.1919,56.89,93,29,9.91
184,Igatpuri,IN,1666485566,19.7,73.55,65.03,68,0,7.14
185,Chingirlau,KZ,1666485566,51.095,54.0814,30.74,63,64,4.03
186,Souillac,MU,1666485269,-20.5167,57.5167,70.18,88,40,2.3
187,Severomuysk,RU,1666485567,56.1481,113.4267,11.48,84,12,1.79
188,Ribeira Grande,PT,1666485270,38.5167,-28.7,66.78,69,100,5.01
189,Fendou,CN,1666485555,46.65,124.8667,38.16,65,26,9.33
190,Keelung,TW,1666485271,25.1283,121.7419,73.29,87,100,11.68
191,Aquiraz,BR,1666485568,-3.9014,-38.3911,80.69,80,4,10.92
192,Ostrovnoy,RU,1666485568,68.0531,39.5131,36.36,94,100,20.11
193,Aklavik,CA,1666485569,68.2191,-135.0107,11.34,98,80,3.36
194,Huéscar,ES,1666485569,37.811,-2.5412,64.11,42,100,4.54
195,Tutin,RS,1666485569,42.9903,20.3314,50.4,55,3,4.81
196,Rognan,NO,1666485273,67.0953,15.3878,39.88,98,100,10.29
197,Norman Wells,CA,1666485570,65.282,-126.8329,24.84,86,75,2.3
198,Tegul'det,RU,1666485570,57.3064,88.1667,48.96,86,100,15.75
199,Lata,PT,1666485274,40.1629,-8.3327,60.93,89,100,10.54
200,Lokosovo,RU,1666485571,61.1333,74.8167,28.72,87,84,8.3
201,Blahodatne,UA,1666485275,50.6637,24.2492,51.58,93,100,11.65
202,Palimbang,PH,1666485276,6.2106,124.1894,83.41,76,100,4.63
203,Gold Coast,AU,1666485489,-28.0,153.4333,72.18,94,100,20.71
204,East London,ZA,1666485572,-33.0153,27.9116,64.54,81,15,13.22
205,Morón,AR,1666485287,-34.6534,-58.6198,56.89,71,44,6.67
206,Rocha,UY,1666485277,-34.4833,-54.3333,54.18,97,100,18.86
207,Maniitsoq,GL,1666485572,65.4167,-52.9,35.31,96,100,21.61
208,College,US,1666485573,64.8569,-147.8028,34.59,93,100,3.44
209,Prince Rupert,CA,1666485573,54.3161,-130.3201,49.69,62,0,9.22
210,Fuerte Olimpo,PY,1666485574,-21.0415,-57.8738,70.68,67,0,6.44
211,Nara,JP,1666485574,34.6851,135.8049,73.96,49,13,7.52
212,Nemuro,JP,1666485574,43.3236,145.575,52.9,68,8,12.55
213,Hamilton,US,1666485480,39.1834,-84.5333,69.89,61,0,5.75
214,Cherskiy,RU,1666485575,68.75,161.3,13.44,94,100,9.82
215,Mahébourg,MU,1666485376,-20.4081,57.7,70.09,88,40,2.3
216,Fethiye,TR,1666485576,36.6217,29.1164,53.47,40,0,4.68
217,Daura,NG,1666485576,11.5538,11.4085,77.68,26,36,6.96
218,Taree,AU,1666485576,-31.9,152.4667,63.64,94,100,2.71
219,Kaitangata,NZ,1666485577,-46.2817,169.8464,65.77,39,34,4.14
220,Carbonear,CA,1666485577,47.7332,-53.2148,53.42,88,0,12.1
221,Toora-Khem,RU,1666485577,52.4675,96.11,30.7,81,22,3.04
222,Kaeo,NZ,1666485578,-35.1,173.7833,63.3,51,0,7.36
223,Salamiyah,SY,1666485578,35.0113,37.0532,62.22,75,4,7.45
224,San Patricio,US,1666485578,28.017,-97.5169,78.75,62,7,16.46
225,Aksarka,RU,1666485579,66.5606,67.7975,27.77,87,99,13.11
226,Myaundzha,RU,1666485579,63.0494,147.1858,0.1,87,68,2.86
227,Jining,CN,1666485574,35.405,116.5814,63.18,39,0,3.02
228,Acarí,PE,1666485580,-15.4311,-74.6158,68.47,67,16,3.06
229,Kongolo,CD,1666485580,-5.3833,27.0,68.5,92,100,1.83
230,Yellowknife,CA,1666485581,62.456,-114.3525,27.12,63,75,5.75
231,Bam,IR,1666485581,29.106,58.357,71.91,17,0,5.03
232,Waipawa,NZ,1666485582,-41.4122,175.5153,65.84,38,5,9.55
233,Cartagena,CO,1666485582,10.3997,-75.5144,82.02,83,20,3.44
234,Adré,TD,1666485288,13.4667,22.2,78.66,27,59,7.02
235,Mount Isa,AU,1666485359,-20.7333,139.5,92.7,14,0,15.14
236,Narsaq,GL,1666485583,60.9167,-46.05,35.82,94,100,7.99
237,Charters Towers,AU,1666485369,-20.1,146.2667,89.01,26,0,7.36
238,Boden,SE,1666485583,65.8252,21.6886,37.4,58,11,12.71
239,Almeirim,BR,1666485470,-1.5233,-52.5817,81.75,66,100,4.74
240,Tangzhai,CN,1666485584,34.4328,116.5911,63.28,36,1,8.21
241,Peterhead,GB,1666485585,57.5058,-1.7981,52.2,92,10,12.26
242,Sarangani,PH,1666485290,5.4033,125.4636,82.51,75,99,10.6
243,Coutances,FR,1666485585,49.05,-1.4333,57.88,94,100,13.02
244,Atar,MR,1666485290,20.5169,-13.0499,83.97,13,0,7.14
245,Sabang,ID,1666485586,5.8933,95.3214,81.3,76,31,13.33
246,Biritiba-Mirim,BR,1666485586,-23.5698,-46.0407,64.18,93,86,3.02
247,Half Moon Bay,US,1666485586,37.4636,-122.4286,66.11,61,0,23.02
248,Rājākhera,IN,1666485587,26.8961,78.1714,68.94,61,0,2.37
249,Northam,GB,1666485587,51.0333,-4.2167,59.61,96,100,16.55
250,Saskylakh,RU,1666485587,71.9167,114.0833,8.49,97,66,7.72
251,Jaisinghnagar,IN,1666485588,23.7,81.3833,62.01,81,0,3.2
252,Port Blair,IN,1666485588,11.6667,92.75,78.84,94,100,8.05
253,Muncar,ID,1666485589,-8.4333,114.3333,83.77,75,71,1.54
254,Havøysund,NO,1666485294,70.9963,24.6622,37.63,80,100,27.13
255,Conde,BR,1666485295,-7.2597,-34.9075,78.26,78,20,8.05
256,Neryungri,RU,1666485590,56.6709,124.6491,19.4,89,84,0.89
257,Mayo,US,1666485590,38.8876,-76.5119,60.13,84,0,0.0
258,Icod de los Vinos,ES,1666485590,28.3724,-16.7119,69.76,81,100,4.94
259,Puerto Carreño,CO,1666485591,6.189,-67.4859,76.35,90,100,3.47
260,Kulhudhuffushi,MV,1666485591,6.6221,73.07,80.44,83,100,12.59
261,Paamiut,GL,1666485296,61.994,-49.6678,36.72,97,100,22.24
262,Ranong,TH,1666485592,9.9658,98.6348,75.13,82,62,1.45
263,Itaú de Minas,BR,1666485592,-20.7394,-46.7522,67.66,78,2,1.63
264,Balkanabat,TM,1666485592,39.5108,54.3671,56.91,63,99,4.05
265,Pyapon,MM,1666485593,16.2833,95.6833,79.74,87,65,11.5
266,Athlone,IE,1666485593,53.4333,-7.95,52.12,97,100,5.59
267,Samarai,PG,1666485594,-10.6167,150.6667,82.99,70,16,1.95
268,Castro,BR,1666485307,-24.7911,-50.0119,58.84,98,55,8.7
269,Winnemucca,US,1666485299,40.973,-117.7357,46.15,29,96,19.13
270,Pandan,PH,1666485594,14.0453,124.1694,83.71,83,100,10.02
271,Berlevåg,NO,1666485595,70.8578,29.0864,35.6,69,20,21.85
272,Tulagi,SB,1666485595,-9.0996,160.1476,82.67,73,100,8.59
273,Talcahuano,CL,1666485596,-36.7167,-73.1167,51.48,93,40,8.05
274,Leningradskiy,RU,1666485596,69.3833,178.4167,27.59,97,100,7.18
275,Aswān,EG,1666485597,24.0934,32.907,72.7,40,0,8.05
276,Saint-François,FR,1666485597,46.4154,3.9054,58.68,82,0,3.44
277,Kaseda-shirakame,JP,1666485598,31.4167,130.3167,73.18,70,5,10.45
278,Kupang,ID,1666485598,-10.1667,123.5833,86.5,63,66,6.08
279,Meadow Lake,US,1666485599,34.8014,-106.5436,72.88,35,100,19.84
280,Iquique,CL,1666485599,-20.2208,-70.1431,60.84,67,4,1.77
281,Oxbow,CA,1666485600,49.2333,-102.1676,45.64,70,100,17.09
282,Talnakh,RU,1666485601,69.4865,88.3972,27.21,94,100,7.7
283,Ozuluama de Mascareñas,MX,1666485601,21.6667,-97.85,71.91,81,66,9.1
284,Nizhnevartovsk,RU,1666485305,60.9344,76.5531,30.22,100,40,4.47
285,Ürümqi,CN,1666485504,43.801,87.6005,41.95,70,0,2.24
286,Katsuura,JP,1666485603,35.1333,140.3,73.33,67,13,15.01
287,Atambua,ID,1666485603,-9.1061,124.8925,85.24,59,19,3.83
288,Ixtapa,MX,1666485604,20.7,-105.2,79.83,89,100,0.0
289,Imeni Poliny Osipenko,RU,1666485605,52.4201,136.4853,35.92,43,10,2.77
290,Colares,PT,1666485605,38.7992,-9.4469,64.76,88,100,21.0
291,Margate,GB,1666485605,51.3813,1.3862,60.91,91,100,1.99
292,Magnitogorsk,RU,1666485606,53.4186,59.0472,26.78,63,40,2.24
293,Geraldton,AU,1666485606,-28.7667,114.6,67.96,63,97,5.37
294,Salalah,OM,1666485607,17.0151,54.0924,77.09,69,75,3.44
295,Shizunai-furukawachō,JP,1666485607,42.3339,142.3669,54.43,69,79,13.02
296,Homer,US,1666485318,59.6425,-151.5483,42.69,70,0,6.91
297,Bathurst,AU,1666485608,-33.4166,149.5806,68.97,77,100,3.38
298,Vostok,RU,1666485609,46.4856,135.8833,32.81,62,76,4.61
299,Northfield,US,1666485609,44.4583,-93.1616,72.91,42,0,5.75
300,Kīhei,US,1666485342,20.785,-156.4656,93.22,55,40,19.57
301,Taoudenni,ML,1666485610,22.6783,-3.9836,82.11,15,20,9.24
302,Carbonia,IT,1666485610,39.1672,8.5222,70.45,66,86,6.33
303,Kavaratti,IN,1666485611,10.5669,72.642,81.63,74,79,5.5
304,Kochubey,RU,1666485612,44.3861,46.5825,44.4,63,98,4.29
305,Ancud,CL,1666485314,-41.8697,-73.8203,44.26,79,100,7.47
306,Chichihualco,MX,1666485613,17.6833,-99.65,65.95,95,95,4.99
307,Yulara,AU,1666485613,-25.2406,130.9889,77.34,40,0,15.73
308,Codrington,AU,1666485315,-38.2667,141.9667,55.53,80,100,17.31
309,Airai,TL,1666485615,-8.9266,125.4092,75.33,53,8,1.16
310,Batagay,RU,1666485615,67.6333,134.6333,5.58,91,96,3.96
311,Novhorodka,UA,1666485616,48.3651,32.6578,51.17,87,100,13.44
312,Santa Cruz do Sul,BR,1666485617,-29.7175,-52.4258,60.26,87,0,2.8
313,Digras,IN,1666485617,20.1167,77.7167,64.51,77,0,4.41
314,Bethel,US,1666485618,41.3712,-73.414,55.65,79,0,0.0
315,Hambantota,LK,1666485618,6.1241,81.1185,75.54,100,75,1.14
316,Manhattan,US,1666485319,40.7834,-73.9662,60.66,67,0,7.0
317,Khromtau,KZ,1666485619,50.2503,58.4347,27.54,70,9,7.09
318,Daru,PG,1666485620,-9.0763,143.2092,86.2,65,11,4.36
319,Slonim,BY,1666485620,53.0867,25.3219,46.69,95,100,4.72
320,Broken Hill,AU,1666485321,-31.95,141.4333,61.45,88,100,6.89
321,Beloha,MG,1666485322,-25.1667,45.05,67.6,89,0,3.53
322,Lotofaga,WS,1666485622,-13.9764,-171.8578,89.38,73,100,11.03
323,Manaquiri,BR,1666485323,-3.3167,-60.35,79.25,84,100,2.3
324,San Andrés,CO,1666485323,12.5847,-81.7006,84.22,79,20,8.05
325,Flinders,AU,1666485623,-34.5833,150.8552,65.48,92,100,10.16
326,San Felipe,VE,1666485324,10.3399,-68.7425,71.94,98,33,1.52
327,Russell,US,1666485624,32.3502,-85.1999,64.0,82,0,0.0
328,Shingū,JP,1666485625,33.7333,135.9833,75.42,56,4,3.58
329,Talas,TR,1666485625,38.6908,35.5538,30.87,93,0,0.0
330,Hong Kong,HK,1666485577,22.2855,114.1577,83.17,80,88,1.01
331,Sangar,RU,1666485626,63.9242,127.4739,15.8,92,100,0.47
332,Acajutla,SV,1666485627,13.5928,-89.8275,79.45,80,14,2.06
333,Derzhavīnsk,KZ,1666485627,51.1,66.3167,29.23,81,44,14.65
334,Sinnamary,GF,1666485628,5.3833,-52.95,79.47,87,81,10.65
335,Hammerfest,NO,1666485628,70.6634,23.6821,39.65,81,75,17.27
336,Kidal,ML,1666485628,18.4411,1.4078,75.6,20,99,15.37
337,Buta,CD,1666485629,2.7858,24.73,70.72,97,100,0.81
338,Dimitrovgrad,RU,1666485496,54.2139,49.6184,33.85,74,91,5.1
339,Marabu,MY,1666485629,4.4148,114.0089,78.94,94,40,4.61
340,Vao,NC,1666485330,-22.6667,167.4833,72.55,78,100,28.27
341,Lagoa,PT,1666485630,39.05,-27.9833,65.19,70,100,17.54
342,Serenje,ZM,1666485631,-13.2325,30.2352,63.1,48,98,4.16
343,Hualmay,PE,1666485631,-11.0964,-77.6139,61.59,83,70,10.16
344,Tortolì,IT,1666485632,39.9256,9.6572,66.02,82,0,12.66
345,Longyearbyen,SJ,1666485632,78.2186,15.6401,17.44,67,40,3.44
346,Saravan,AM,1666485633,39.7196,45.6483,44.4,89,97,0.27
347,Namtsy,RU,1666485633,62.7161,129.6658,18.23,93,100,1.5
348,Nioro,GM,1666485633,13.35,-15.75,75.24,91,0,5.08
349,Enshi,CN,1666485550,30.3,109.4833,63.9,79,100,1.59
350,Taseyevo,RU,1666485634,57.2169,94.8978,48.94,78,100,8.84
351,Porto Torres,IT,1666485634,40.835,8.3972,64.58,55,21,5.77
352,Malakal,SS,1666485635,9.5334,31.6605,72.01,90,77,3.22
353,Kavieng,PG,1666485635,-2.5744,150.7967,84.38,62,76,4.83
354,Qinhuangdao,CN,1666485636,39.9317,119.5883,57.79,37,0,8.14
355,Ola,RU,1666485636,59.5833,151.2833,16.14,58,100,9.64
356,Kokopo,PG,1666485637,-4.352,152.2633,82.85,70,100,5.39
357,Doumé,CM,1666485637,4.2333,13.45,67.68,99,100,1.74
